label,product,szenariodate,memory_total (MB),memory_rss (MB),memory_cache(MB),memory_swap(MB),memory_pgpgin (pages),memory_pgpgout (pages),memory_quota (MB)
iText-2b,iText,2b, 1.517964687E12,978.43,975.53,2.90,0.00,1068975,946247,1024.00
iText-2b,iText,2b, 1.517964707E12,978.43,975.53,2.90,0.00,1068975,946247,1024.00
iText-2b,iText,2b, 1.517964727E12,978.43,975.53,2.90,0.00,1068975,946247,1024.00
iText-2b,iText,2b, 1.517964747E12,978.43,975.53,2.90,0.00,1068975,946247,1024.00
iText-2b,iText,2b, 1.517964767E12,978.43,975.53,2.90,0.00,1068975,946247,1024.00
iText-2b,iText,2b, 1.517964787E12,978.43,975.53,2.90,0.00,1068975,946247,1024.00
iText-2b,iText,2b, 1.517964807E12,978.43,975.53,2.90,0.00,1068975,946247,1024.00
iText-2b,iText,2b, 1.517964827E12,978.43,975.53,2.90,0.00,1068975,946247,1024.00
iText-2b,iText,2b, 1.517964847E12,978.43,975.53,2.90,0.00,1068975,946247,1024.00
iText-2b,iText,2b, 1.517964867E12,978.43,975.53,2.90,0.00,1068975,946247,1024.00
iText-2b,iText,2b, 1.517964887E12,978.43,975.53,2.90,0.00,1068975,946247,1024.00
iText-2b,iText,2b, 1.517964907E12,978.43,975.53,2.90,0.00,1068975,946247,1024.00
iText-2b,iText,2b, 1.517964926E12,978.43,975.53,2.90,0.00,1068975,946247,1024.00
iText-2b,iText,2b, 1.517964947E12,978.43,975.53,2.90,0.00,1068975,946247,1024.00
iText-2b,iText,2b, 1.517964967E12,978.43,975.53,2.90,0.00,1068975,946247,1024.00
iText-2b,iText,2b, 1.517964987E12,978.43,975.53,2.90,0.00,1068975,946247,1024.00
iText-2b,iText,2b, 1.517965007E12,978.43,975.53,2.90,0.00,1068975,946247,1024.00
iText-2b,iText,2b, 1.517965026E12,978.43,975.53,2.90,0.00,1068975,946247,1024.00
iText-2b,iText,2b, 1.517965046E12,978.43,975.53,2.90,0.00,1068975,946247,1024.00
iText-2b,iText,2b, 1.517965066E12,978.43,975.53,2.90,0.00,1068975,946247,1024.00
